threads;tempo_ms;speedup;eficiencia_pct;cpu_processo_pct;ram_sistema_pct
1;122859;1.0000;100.0000;9,4;76,8
2;65971;1.8623;93.1159;1,6;76,8
3;46371;2.6495;88.3160;9,7;76,9
4;36617;3.3552;83.8811;20,1;77,0
5;30496;4.0287;80.5738;21,7;76,7
6;26662;4.6080;76.8003;21,7;76,8
7;24517;5.0112;71.5882;14,1;76,8
8;22566;5.4444;68.0554;23,4;76,7
9;20965;5.8602;65.1133;37,2;77,0
10;19559;6.2815;62.8146;45,0;76,7
11;18563;6.6185;60.1681;52,9;76,8
12;26574;4.6233;38.5273;30,7;75,1
13;25313;4.8536;37.3353;38,2;75,1
14;25281;4.8597;34.7124;13,3;74,9
15;26410;4.6520;31.0133;33,3;75,6
16;23460;5.2370;32.7310;75,9;75,6
